EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,143.000,1.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,144.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,145.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,146.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,147.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,148.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,149.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,150.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,151.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,152.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,153.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,154.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,155.000,0.000
-121.146,-138.849,-122.219,-118.017,-117.570,-106.931,-114.262,-94.503,-0.028,1.003,-0.068,0.977,2.716,0.580,93.333,156.000,0.000
-121.146,-139.117,-122.130,-117.928,-117.749,-106.841,-112.921,-94.235,-0.024,0.998,-0.058,-2.014,0.946,0.488,93.333,157.000,1.000
-120.878,-139.028,-122.130,-118.196,-117.570,-106.841,-112.832,-94.503,-0.024,0.993,-0.058,-1.892,0.824,0.641,93.333,158.000,1.000
-120.789,-139.028,-122.130,-118.017,-117.660,-106.663,-113.010,-94.503,-0.024,0.994,-0.055,-1.678,0.671,0.641,93.333,159.000,1.000
-120.878,-139.117,-122.041,-117.928,-117.660,-106.931,-112.832,-94.324,-0.025,0.993,-0.053,-1.465,0.671,0.702,93.333,160.000,1.000
-120.878,-139.385,-121.862,-117.928,-117.749,-106.931,-112.563,-94.324,-0.026,0.992,-0.056,-1.221,0.580,0.885,93.333,161.000,1.000
-120.878,-139.654,-121.862,-117.838,-117.928,-106.752,-112.206,-94.503,-0.028,0.995,-0.055,-1.038,0.366,1.007,93.333,162.000,1.000
-120.878,-139.475,-121.772,-118.017,-118.107,-106.931,-112.027,-94.414,-0.028,0.996,-0.053,-0.854,0.275,1.129,93.333,163.000,1.000
-120.699,-139.385,-121.772,-117.928,-118.017,-106.931,-111.848,-94.414,-0.030,0.996,-0.052,-0.641,0.153,1.129,93.333,164.000,1.000
-120.699,-139.564,-121.951,-118.017,-118.017,-106.931,-111.669,-94.414,-0.030,0.996,-0.055,-0.610,-0.092,1.282,93.333,165.000,1.000
-120.789,-139.475,-121.951,-118.017,-118.107,-106.931,-111.669,-94.235,-0.031,0.996,-0.052,-0.488,-0.214,1.404,93.333,166.000,1.000
-120.699,-139.475,-121.862,-117.838,-118.196,-106.931,-111.580,-94.503,-0.030,0.996,-0.051,-0.427,-0.397,1.343,93.333,167.000,1.000
-120.878,-139.564,-121.772,-118.107,-118.107,-106.752,-111.491,-94.503,-0.029,0.998,-0.051,-0.214,-0.488,1.343,93.333,168.000,1.000
-120.878,-139.654,-121.772,-118.017,-118.196,-106.573,-111.401,-94.414,-0.029,0.997,-0.054,-0.153,-0.702,1.312,93.333,169.000,1.000
-120.610,-140.011,-121.951,-117.749,-118.375,-106.841,-111.133,-94.414,-0.027,0.996,-0.052,-0.061,-1.007,1.404,93.333,170.000,1.000
